,State,Population,Vaccination Ratio,Weekly New Cases (per 100k),Infection Rate,Cases,Deaths,Hospital Beds,Covid ICU Usage
0,AK,731545,0.725,67.5,1.15,300732,1390,1702,34
1,AL,4903185,0.647,118.4,1.34,1552527,21149,13414,403
2,AR,3017804,0.694,119.1,1.21,972465,12611,7411,309
3,AZ,7278717,0.767,219.6,1.22,2352189,31822,14750,1215
4,CA,39512223,0.84,143.5,1.05,11559335,100005,62346,4910
5,CO,5758736,0.831,133.3,1.03,1715828,13701,10325,471
6,CT,3565287,0.95,124.1,1.12,930547,11603,7550,562
7,DC,705749,,51.3,0.77,171608,1407,3414,224
8,DE,973764,0.867,121.0,1.19,318134,3172,2521,198
9,FL,21477737,0.819,72.0,1.34,7223005,83100,54241,1703
10,GA,10617423,0.677,55.6,1.24,2857433,39637,19927,1108
11,HI,1415872,,95.4,1.17,359809,1741,2427,71
12,IA,3155070,0.702,110.0,1.31,877066,10318,6906,254
13,ID,1787065,0.635,91.5,1.18,507956,5293,2763,154
14,IL,12671821,0.788,178.1,1.21,3906896,40385,27246,1551
15,IN,6732219,0.64,171.3,1.34,1976896,25164,15007,682
16,KS,2913314,0.756,142.0,1.26,906219,9819,7925,305
17,KY,4467673,0.684,128.9,1.11,1644475,17617,10707,448
18,LA,4648794,0.625,95.8,1.31,1477545,18296,12804,235
19,MA,6892503,0.95,74.0,1.07,2115549,22488,16094,855
20,MD,6045680,0.909,109.3,1.2,1295190,15865,10028,826
21,ME,1344212,0.95,76.8,1.14,302592,2775,2806,112
22,MI,9986857,0.691,29.9,0.79,2941432,40274,21206,1146
23,MN,5639632,0.782,81.0,1.09,1713190,14094,9519,705
24,MO,6137428,0.689,129.8,1.23,1719064,23118,14506,989
25,MP,53605,0.864,,,11829,41,,
26,MS,2976149,0.614,113.5,1.62,943402,13079,8452,235
27,MT,1068778,0.678,86.7,1.0,319287,3617,2593,77
28,NC,10488084,,110.6,1.28,3282404,28661,20753,1775
29,ND,762062,0.688,143.3,1.18,277366,2434,1675,61
30,NE,1934408,0.729,123.2,1.1,545463,4809,4541,291
31,NH,1359711,,94.1,1.18,362649,2828,2476,85
32,NJ,8882190,0.939,183.5,1.14,2864909,35222,21304,1377
33,NM,2096829,0.933,200.9,1.05,650779,8747,3566,243
34,NV,3080156,0.783,95.3,1.2,864406,11781,7333,341
35,NY,19453561,0.937,232.2,1.17,6415690,76871,38643,3397
36,OH,11689100,0.653,120.5,1.2,3243850,40659,26070,1545
37,OK,3956971,0.741,156.1,1.3,1225997,15986,9298,365
38,OR,4217737,0.809,106.6,1.21,929127,8898,6484,488
39,PA,12801989,0.897,108.9,1.21,3374733,48606,31294,1789
40,PR,3193694,0.95,313.7,1.13,1054328,5413,8966,237
41,RI,1059361,0.95,88.2,1.04,437972,3774,2230,81
42,SC,5148714,0.705,131.8,1.36,1745166,19306,9854,335
43,SD,884659,0.83,123.1,1.2,269886,3124,2189,62
44,TN,6829174,0.641,141.1,1.21,2339184,28124,18271,615
45,TX,28995881,0.757,107.4,1.35,7979224,92393,59192,2396
46,UT,3205958,0.747,137.1,1.28,1063566,5127,5703,202
47,VA,8535519,0.902,118.8,1.18,2159648,22628,16279,671
48,VT,623989,0.95,71.2,1.23,147221,781,1162,41
49,WA,7614893,0.845,85.2,1.19,1866343,14860,10608,604
50,WI,5822434,0.746,142.9,1.13,1934163,15729,11424,622
51,WV,1792147,0.671,103.8,1.15,616506,7749,4874,191
52,WY,578759,0.605,133.0,1.21,181695,1938,1524,27
